REGION,TECHNOLOGY,YEAR,VALUE
ISRAEL,PWR_NGCC,2015,20
ISRAEL,PWR_NGCC,2016,20
ISRAEL,PWR_NGCC,2017,20
ISRAEL,PWR_NGCC,2018,20
ISRAEL,PWR_NGCC,2019,20
ISRAEL,PWR_NGCC,2020,20
ISRAEL,PWR_NGCC,2021,20
ISRAEL,PWR_NGCC,2022,20
ISRAEL,PWR_NGCC,2023,20
ISRAEL,PWR_NGCC,2024,20
ISRAEL,PWR_NGCC,2025,20
ISRAEL,PWR_NGCC,2026,20
ISRAEL,PWR_NGCC,2027,20
ISRAEL,PWR_NGCC,2028,20
ISRAEL,PWR_NGCC,2029,20
ISRAEL,PWR_NGCC,2030,20
ISRAEL,PWR_NGCC,2031,20
ISRAEL,PWR_NGCC,2032,20
ISRAEL,PWR_NGCC,2033,20
ISRAEL,PWR_NGCC,2034,20
ISRAEL,PWR_NGCC,2035,20
ISRAEL,PWR_NGCC,2036,20
ISRAEL,PWR_NGCC,2037,20
ISRAEL,PWR_NGCC,2038,20
ISRAEL,PWR_NGCC,2039,20
ISRAEL,PWR_NGCC,2040,20
ISRAEL,PWR_NGCC,2041,20
ISRAEL,PWR_NGCC,2042,20
ISRAEL,PWR_NGCC,2043,20
ISRAEL,PWR_NGCC,2044,20
ISRAEL,PWR_NGCC,2045,20
ISRAEL,PWR_NGCC,2046,20
ISRAEL,PWR_NGCC,2047,20
ISRAEL,PWR_NGCC,2048,20
ISRAEL,PWR_NGCC,2049,20
ISRAEL,PWR_NGCC,2050,20
ISRAEL,PWR_Solar_Utility,2015,15
ISRAEL,PWR_Solar_Utility,2016,15
ISRAEL,PWR_Solar_Utility,2017,15
ISRAEL,PWR_Solar_Utility,2018,15
ISRAEL,PWR_Solar_Utility,2019,15
ISRAEL,PWR_Solar_Utility,2020,15
ISRAEL,PWR_Solar_Utility,2021,15
ISRAEL,PWR_Solar_Utility,2022,15
ISRAEL,PWR_Solar_Utility,2023,15
ISRAEL,PWR_Solar_Utility,2024,15
ISRAEL,PWR_Solar_Utility,2025,15
ISRAEL,PWR_Solar_Utility,2026,15
ISRAEL,PWR_Solar_Utility,2027,15
ISRAEL,PWR_Solar_Utility,2028,15
ISRAEL,PWR_Solar_Utility,2029,15
ISRAEL,PWR_Solar_Utility,2030,15
ISRAEL,PWR_Solar_Utility,2031,15
ISRAEL,PWR_Solar_Utility,2032,15
ISRAEL,PWR_Solar_Utility,2033,15
ISRAEL,PWR_Solar_Utility,2034,15
ISRAEL,PWR_Solar_Utility,2035,15
ISRAEL,PWR_Solar_Utility,2036,15
ISRAEL,PWR_Solar_Utility,2037,15
ISRAEL,PWR_Solar_Utility,2038,15
ISRAEL,PWR_Solar_Utility,2039,15
ISRAEL,PWR_Solar_Utility,2040,15
ISRAEL,PWR_Solar_Utility,2041,15
ISRAEL,PWR_Solar_Utility,2042,15
ISRAEL,PWR_Solar_Utility,2043,15
ISRAEL,PWR_Solar_Utility,2044,15
ISRAEL,PWR_Solar_Utility,2045,15
ISRAEL,PWR_Solar_Utility,2046,15
ISRAEL,PWR_Solar_Utility,2047,15
ISRAEL,PWR_Solar_Utility,2048,15
ISRAEL,PWR_Solar_Utility,2049,15
ISRAEL,PWR_Solar_Utility,2050,15
ISRAEL,PWR_Wind_Onshore,2015,25
ISRAEL,PWR_Wind_Onshore,2016,25
ISRAEL,PWR_Wind_Onshore,2017,25
ISRAEL,PWR_Wind_Onshore,2018,25
ISRAEL,PWR_Wind_Onshore,2019,25
ISRAEL,PWR_Wind_Onshore,2020,25
ISRAEL,PWR_Wind_Onshore,2021,25
ISRAEL,PWR_Wind_Onshore,2022,25
ISRAEL,PWR_Wind_Onshore,2023,25
ISRAEL,PWR_Wind_Onshore,2024,25
ISRAEL,PWR_Wind_Onshore,2025,25
ISRAEL,PWR_Wind_Onshore,2026,25
ISRAEL,PWR_Wind_Onshore,2027,25
ISRAEL,PWR_Wind_Onshore,2028,25
ISRAEL,PWR_Wind_Onshore,2029,25
ISRAEL,PWR_Wind_Onshore,2030,25
ISRAEL,PWR_Wind_Onshore,2031,25
ISRAEL,PWR_Wind_Onshore,2032,25
ISRAEL,PWR_Wind_Onshore,2033,25
ISRAEL,PWR_Wind_Onshore,2034,25
ISRAEL,PWR_Wind_Onshore,2035,25
ISRAEL,PWR_Wind_Onshore,2036,25
ISRAEL,PWR_Wind_Onshore,2037,25
ISRAEL,PWR_Wind_Onshore,2038,25
ISRAEL,PWR_Wind_Onshore,2039,25
ISRAEL,PWR_Wind_Onshore,2040,25
ISRAEL,PWR_Wind_Onshore,2041,25
ISRAEL,PWR_Wind_Onshore,2042,25
ISRAEL,PWR_Wind_Onshore,2043,25
ISRAEL,PWR_Wind_Onshore,2044,25
ISRAEL,PWR_Wind_Onshore,2045,25
ISRAEL,PWR_Wind_Onshore,2046,25
ISRAEL,PWR_Wind_Onshore,2047,25
ISRAEL,PWR_Wind_Onshore,2048,25
ISRAEL,PWR_Wind_Onshore,2049,25
ISRAEL,PWR_Wind_Onshore,2050,25
ISRAEL,PWR_Nuclear_SMR,2015,80
ISRAEL,PWR_Nuclear_SMR,2016,80
ISRAEL,PWR_Nuclear_SMR,2017,80
ISRAEL,PWR_Nuclear_SMR,2018,80
ISRAEL,PWR_Nuclear_SMR,2019,80
ISRAEL,PWR_Nuclear_SMR,2020,80
ISRAEL,PWR_Nuclear_SMR,2021,80
ISRAEL,PWR_Nuclear_SMR,2022,80
ISRAEL,PWR_Nuclear_SMR,2023,80
ISRAEL,PWR_Nuclear_SMR,2024,80
ISRAEL,PWR_Nuclear_SMR,2025,80
ISRAEL,PWR_Nuclear_SMR,2026,80
ISRAEL,PWR_Nuclear_SMR,2027,80
ISRAEL,PWR_Nuclear_SMR,2028,80
ISRAEL,PWR_Nuclear_SMR,2029,80
ISRAEL,PWR_Nuclear_SMR,2030,80
ISRAEL,PWR_Nuclear_SMR,2031,80
ISRAEL,PWR_Nuclear_SMR,2032,80
ISRAEL,PWR_Nuclear_SMR,2033,80
ISRAEL,PWR_Nuclear_SMR,2034,80
ISRAEL,PWR_Nuclear_SMR,2035,80
ISRAEL,PWR_Nuclear_SMR,2036,80
ISRAEL,PWR_Nuclear_SMR,2037,80
ISRAEL,PWR_Nuclear_SMR,2038,80
ISRAEL,PWR_Nuclear_SMR,2039,80
ISRAEL,PWR_Nuclear_SMR,2040,80
ISRAEL,PWR_Nuclear_SMR,2041,80
ISRAEL,PWR_Nuclear_SMR,2042,80
ISRAEL,PWR_Nuclear_SMR,2043,80
ISRAEL,PWR_Nuclear_SMR,2044,80
ISRAEL,PWR_Nuclear_SMR,2045,80
ISRAEL,PWR_Nuclear_SMR,2046,80
ISRAEL,PWR_Nuclear_SMR,2047,80
ISRAEL,PWR_Nuclear_SMR,2048,80
ISRAEL,PWR_Nuclear_SMR,2049,80
ISRAEL,PWR_Nuclear_SMR,2050,80
